trng_mscl_nm,rptt_tcnt_nm,file_url,vdo_desc,file_sz,fps_cnt,row_num,resolution,tool_nm,aggrp_nm,frme_no,ecrg_cycl_nm,img_file_nm,trng_mscl_zn_nm,fbctn_yr,trng_plc_nm,vdo_len,trng_mscl_part,lang,trng_nm,job_ymd,trng_mscl_class,vdo_ttl_nm,snap_tm,trng_hr_nm,file_type_nm,file_nm,trng_mscl_eng_nm,img_file_url,img_file_sn,data_type,set_cnt_nm
"넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,실내에서 자전거를 활용한 운동처방 동영상,8036248,29.96,1,1280*720,실내자전거,공통,262,,0AUDLJ08S_00173_SC_00004.jpeg,"대퇴사두근,대퇴이두근,비복근",2021,헬스장,50,"앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,실내 자전거타기,20220930,"하지의 근,하지의 근,하지의 근",실내 자전거타기,8.742,,mp4,0AUDLJ08S_00173.mp4,"Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00173/,3,동영상,
"넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,실내에서 자전거를 활용한 운동처방 동영상,8036248,29.96,2,1280*720,실내자전거,공통,349,,0AUDLJ08S_00173_SC_00005.jpeg,"대퇴사두근,대퇴이두근,비복근",2021,헬스장,50,"앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,실내 자전거타기,20220930,"하지의 근,하지의 근,하지의 근",실내 자전거타기,11.644,,mp4,0AUDLJ08S_00173.mp4,"Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00173/,4,동영상,
"넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,실내에서 자전거를 활용한 운동처방 동영상,8036248,29.96,3,1280*720,실내자전거,공통,436,,0AUDLJ08S_00173_SC_00006.jpeg,"대퇴사두근,대퇴이두근,비복근",2021,헬스장,50,"앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,실내 자전거타기,20220930,"하지의 근,하지의 근,하지의 근",실내 자전거타기,14.547,,mp4,0AUDLJ08S_00173.mp4,"Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00173/,5,동영상,
"넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,실내에서 자전거를 활용한 운동처방 동영상,8036248,29.96,4,1280*720,실내자전거,공통,494,,0AUDLJ08S_00173_SC_00007.jpeg,"대퇴사두근,대퇴이두근,비복근",2021,헬스장,50,"앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,실내 자전거타기,20220930,"하지의 근,하지의 근,하지의 근",실내 자전거타기,16.483,,mp4,0AUDLJ08S_00173.mp4,"Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00173/,6,동영상,
"넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,실내에서 자전거를 활용한 운동처방 동영상,8036248,29.96,5,1280*720,실내자전거,공통,523,,0AUDLJ08S_00173_SC_00008.jpeg,"대퇴사두근,대퇴이두근,비복근",2021,헬스장,50,"앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,실내 자전거타기,20220930,"하지의 근,하지의 근,하지의 근",실내 자전거타기,17.45,,mp4,0AUDLJ08S_00173.mp4,"Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00173/,7,동영상,
"넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,실내에서 자전거를 활용한 운동처방 동영상,8036248,29.96,6,1280*720,실내자전거,공통,552,,0AUDLJ08S_00173_SC_00009.jpeg,"대퇴사두근,대퇴이두근,비복근",2021,헬스장,50,"앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,실내 자전거타기,20220930,"하지의 근,하지의 근,하지의 근",실내 자전거타기,18.418,,mp4,0AUDLJ08S_00173.mp4,"Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00173/,8,동영상,
"넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,실내에서 자전거를 활용한 운동처방 동영상,8036248,29.96,7,1280*720,실내자전거,공통,581,,0AUDLJ08S_00173_SC_00010.jpeg,"대퇴사두근,대퇴이두근,비복근",2021,헬스장,50,"앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,실내 자전거타기,20220930,"하지의 근,하지의 근,하지의 근",실내 자전거타기,19.386,,mp4,0AUDLJ08S_00173.mp4,"Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00173/,9,동영상,
"넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,실내에서 자전거를 활용한 운동처방 동영상,8036248,29.96,8,1280*720,실내자전거,공통,610,,0AUDLJ08S_00173_SC_00011.jpeg,"대퇴사두근,대퇴이두근,비복근",2021,헬스장,50,"앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,실내 자전거타기,20220930,"하지의 근,하지의 근,하지의 근",실내 자전거타기,20.353,,mp4,0AUDLJ08S_00173.mp4,"Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00173/,10,동영상,
"넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,실내에서 자전거를 활용한 운동처방 동영상,8036248,29.96,9,1280*720,실내자전거,공통,639,,0AUDLJ08S_00173_SC_00012.jpeg,"대퇴사두근,대퇴이두근,비복근",2021,헬스장,50,"앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,실내 자전거타기,20220930,"하지의 근,하지의 근,하지의 근",실내 자전거타기,21.321,,mp4,0AUDLJ08S_00173.mp4,"Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00173/,11,동영상,
"넙다리네갈래근,넙다리두갈래근,장딴지근",,http://openapi.kspo.or.kr/web/video/,실내에서 자전거를 활용한 운동처방 동영상,8036248,29.96,10,1280*720,실내자전거,공통,987,,0AUDLJ08S_00173_SC_00014.jpeg,"대퇴사두근,대퇴이두근,비복근",2021,헬스장,50,"앞쪽 넓적다리,뒤쪽 넓적다리,종아리",한국어,실내 자전거타기,20220930,"하지의 근,하지의 근,하지의 근",실내 자전거타기,32.932,,mp4,0AUDLJ08S_00173.mp4,"Quadriceps Femoris,Biceps Femoris,Gastrocnemius",http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00173/,12,동영상,
