trng_se_nm,file_url,vdo_desc,file_sz,trng_aim_nm,fps_cnt,row_num,resolution,tool_nm,aggrp_nm,frme_no,img_file_nm,fbctn_yr,nope_nm,vdo_len,lang,trng_nm,job_ymd,ftns_fctr_nm,vdo_ttl_nm,snap_tm,file_type_nm,file_nm,img_file_url,img_file_sn,data_type,trng_part_nm
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,1,1920*1080,매트,공통,4757,0AUDLJ08S_00041_SC_00042.jpeg,2021,1인 이상,2299,한국어,누워서 다리 당기기,20221028,유연성,요통 예방 운동프로그램,158.725,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,11,동영상,대퇴이두근
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,2,1920*1080,매트,공통,4902,0AUDLJ08S_00041_SC_00043.jpeg,2021,1인 이상,2299,한국어,누워서 다리 당기기,20221028,유연성,요통 예방 운동프로그램,163.563,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,12,동영상,대퇴이두근
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,3,1920*1080,매트,공통,6468,0AUDLJ08S_00041_SC_00057.jpeg,2021,1인 이상,2299,한국어,다리 교차하여 몸 쪽으로 당기기,20221028,유연성,요통 예방 운동프로그램,215.815,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,13,동영상,이상근
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,4,1920*1080,매트,공통,6787,0AUDLJ08S_00041_SC_00059.jpeg,2021,1인 이상,2299,한국어,다리 교차하여 몸 쪽으로 당기기,20221028,유연성,요통 예방 운동프로그램,226.459,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,14,동영상,이상근
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,5,1920*1080,매트,공통,6874,0AUDLJ08S_00041_SC_00061.jpeg,2021,1인 이상,2299,한국어,다리 교차하여 몸 쪽으로 당기기,20221028,유연성,요통 예방 운동프로그램,229.362,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,15,동영상,이상근
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,6,1920*1080,매트,공통,8556,0AUDLJ08S_00041_SC_00067.jpeg,2021,1인 이상,2299,한국어,허리 숙여 발목잡기,20221028,유연성,요통 예방 운동프로그램,285.485,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,16,동영상,하체
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,7,1920*1080,매트,공통,8788,0AUDLJ08S_00041_SC_00069.jpeg,2021,1인 이상,2299,한국어,허리 숙여 발목잡기,20221028,유연성,요통 예방 운동프로그램,293.226,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,17,동영상,하체
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,8,1920*1080,매트,공통,8933,0AUDLJ08S_00041_SC_00070.jpeg,2021,1인 이상,2299,한국어,허리 숙여 발목잡기,20221028,유연성,요통 예방 운동프로그램,298.064,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,18,동영상,하체
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,9,1920*1080,매트,공통,10673,0AUDLJ08S_00041_SC_00090.jpeg,2021,1인 이상,2299,한국어,옆으로 누워서 발 뒤로 당기기,20221028,유연성,요통 예방 운동프로그램,356.122,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,19,동영상,대퇴사두근
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,10,1920*1080,매트,공통,10789,0AUDLJ08S_00041_SC_00092.jpeg,2021,1인 이상,2299,한국어,옆으로 누워서 발 뒤로 당기기,20221028,유연성,요통 예방 운동프로그램,359.993,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,20,동영상,대퇴사두근
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,11,1920*1080,매트,공통,12588,0AUDLJ08S_00041_FR_00141.jpeg,2021,1인 이상,2299,한국어,옆으로 다리 벌려 몸 숙이기,20221028,유연성,요통 예방 운동프로그램,420.02,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,21,동영상,옆구리
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,12,1920*1080,매트,공통,12761,0AUDLJ08S_00041_SC_00113.jpeg,2021,1인 이상,2299,한국어,옆으로 다리 벌려 몸 숙이기,20221028,유연성,요통 예방 운동프로그램,425.792,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,22,동영상,옆구리
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,13,1920*1080,매트,공통,13950,0AUDLJ08S_00041_SC_00119.jpeg,2021,1인 이상,2299,한국어,넙다리 안쪽 늘리기,20221028,유연성,요통 예방 운동프로그램,465.465,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,23,동영상,내전근
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,14,1920*1080,매트,공통,14414,0AUDLJ08S_00041_SC_00128.jpeg,2021,1인 이상,2299,한국어,넙다리 안쪽 늘리기,20221028,유연성,요통 예방 운동프로그램,480.947,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,24,동영상,내전근
준비 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,15,1920*1080,매트,공통,15195,0AUDLJ08S_00041_FR_00170.jpeg,2021,1인 이상,2299,한국어,전신 늘이기,20221028,유연성,요통 예방 운동프로그램,507.007,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,25,동영상,전신
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,16,1920*1080,,공통,16094,0AUDLJ08S_00041_FR_00180.jpeg,2021,1인 이상,2299,한국어,,20221028,,요통 예방 운동프로그램,537.003,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,26,동영상,
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,17,1920*1080,매트,공통,16274,0AUDLJ08S_00041_FR_00182.jpeg,2021,1인 이상,2299,한국어,복부 당기기,20221028,근력/근지구력,요통 예방 운동프로그램,543.009,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,27,동영상,복근
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,18,1920*1080,매트,공통,17140,0AUDLJ08S_00041_SC_00151.jpeg,2021,1인 이상,2299,한국어,복부 당기고 한쪽 다리 구부렸다 펴기,20221028,근력/근지구력,요통 예방 운동프로그램,571.905,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,28,동영상,복근
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,19,1920*1080,매트,공통,17256,0AUDLJ08S_00041_SC_00152.jpeg,2021,1인 이상,2299,한국어,복부 당기고 한쪽 다리 구부렸다 펴기,20221028,근력/근지구력,요통 예방 운동프로그램,575.775,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,29,동영상,복근
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,20,1920*1080,매트,공통,17488,0AUDLJ08S_00041_SC_00154.jpeg,2021,1인 이상,2299,한국어,복부 당기고 한쪽 다리 구부렸다 펴기,20221028,근력/근지구력,요통 예방 운동프로그램,583.516,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,30,동영상,복근
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,21,1920*1080,매트,공통,18590,0AUDLJ08S_00041_SC_00166.jpeg,2021,1인 이상,2299,한국어,엉덩이 들어올리기,20221028,근력/근지구력,요통 예방 운동프로그램,620.286,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,31,동영상,엉덩이
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,22,1920*1080,매트,공통,18938,0AUDLJ08S_00041_SC_00170.jpeg,2021,1인 이상,2299,한국어,엉덩이 들어올리기,20221028,근력/근지구력,요통 예방 운동프로그램,631.898,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,32,동영상,엉덩이
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,23,1920*1080,매트,공통,19054,0AUDLJ08S_00041_SC_00173.jpeg,2021,1인 이상,2299,한국어,엉덩이 들어올리기,20221028,근력/근지구력,요통 예방 운동프로그램,635.769,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,33,동영상,엉덩이
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,24,1920*1080,매트,공통,20098,0AUDLJ08S_00041_SC_00181.jpeg,2021,1인 이상,2299,한국어,엉덩이 들고 무릎 가슴으로 당기기,20221028,근력/근지구력,요통 예방 운동프로그램,670.603,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,34,동영상,엉덩이
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,25,1920*1080,매트,공통,20410,0AUDLJ08S_00041_FR_00228.jpeg,2021,1인 이상,2299,한국어,엉덩이 들고 무릎 가슴으로 당기기,20221028,근력/근지구력,요통 예방 운동프로그램,681.014,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,35,동영상,엉덩이
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,26,1920*1080,매트,공통,21849,0AUDLJ08S_00041_FR_00244.jpeg,2021,1인 이상,2299,한국어,누워서 팔 다리 뻗기,20221028,근력/근지구력,요통 예방 운동프로그램,729.029,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,36,동영상,몸통
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,27,1920*1080,매트,공통,21939,0AUDLJ08S_00041_FR_00245.jpeg,2021,1인 이상,2299,한국어,누워서 팔 다리 뻗기,20221028,근력/근지구력,요통 예방 운동프로그램,732.032,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,37,동영상,몸통
본 운동,http://openapi.kspo.or.kr/web/video/,요통을 예방하기 위한 운동프로그램,383566029,요통 예방,29.96,28,1920*1080,매트,공통,22186,0AUDLJ08S_00041_SC_00191.jpeg,2021,1인 이상,2299,한국어,누워서 팔 다리 뻗기,20221028,근력/근지구력,요통 예방 운동프로그램,740.273,mp4,0AUDLJ08S_00041.mp4,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00041/,38,동영상,몸통
